epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,43.1036,1.0379,5.3015,0.65092,0.68179,0.02803,17.199,0.96523,0.99141,0.99024,0.73797,0.92551,0.95084,0.94567,0.32379,1.02984,2.94431,0.2972,0.3333,0.04878,0,0.000661578,0.000661578,0.000661578
2,82.9634,1.04925,3.40693,0.45715,0.41191,0.02626,9.83193,0.77644,0.90306,0.91069,0.51731,0.74374,0.87755,0.87643,0.48095,1.54961,2.00505,0.24048,1.15835,0.07365,0,0.00131509,0.00131509,0.00131509
3,122.571,1.12701,2.71616,0.37367,0.41152,0.02806,8.28122,0.74502,0.86735,0.84965,0.5222,0.72786,0.75053,0.79808,0.41954,1.52618,2.47268,0.33686,0.96007,0.07304,0,0.00195541,0.00195541,0.00195541
4,163.506,1.05985,2.57679,0.35564,0.40246,0.02606,7.78977,0.95786,0.94388,0.98533,0.60285,0.93172,0.91837,0.92945,0.46457,1.54604,1.87275,0.21763,0.52153,0.07422,0,0.0019406,0.0019406,0.0019406
5,200.564,0.9397,2.18792,0.33794,0.40068,0.02307,7.14094,0.94482,0.96095,0.98526,0.74256,0.94002,0.9595,0.98341,0.63214,1.06175,1.27361,0.43555,0.39443,0.05056,0,0.0019208,0.0019208,0.0019208
6,238.801,0.97708,2.32388,0.30981,0.376,0.02349,7.36354,0.9943,0.9898,0.9947,0.68559,0.9943,0.9898,0.9947,0.70272,1.25818,1.07811,0.29223,0.37797,0.06288,0,0.001901,0.001901,0.001901
7,278.391,0.88339,2.13833,0.29062,0.32492,0.02195,6.91087,0.99418,0.9898,0.99465,0.74141,0.99418,0.9898,0.99465,0.69023,1.0118,1.10253,0.24158,0.26626,0.05171,0,0.0018812,0.0018812,0.0018812
8,317.827,0.86976,2.02563,0.29305,0.34432,0.02213,6.58641,0.98735,0.98469,0.99424,0.83601,0.98735,0.98469,0.99424,0.73706,0.75718,0.93784,0.28612,0.24422,0.03525,0,0.0018614,0.0018614,0.0018614
9,357.141,0.83969,1.88249,0.27008,0.32927,0.02074,6.36071,0.99484,0.98337,0.99434,0.81643,0.99484,0.98337,0.99434,0.72095,0.80968,0.99097,0.31693,0.23904,0.039,0,0.0018416,0.0018416,0.0018416
10,396.255,0.76409,1.81841,0.26051,0.32749,0.01862,6.15924,0.96795,0.97959,0.99271,0.78548,0.96795,0.97959,0.99271,0.80216,0.9351,0.72708,0.318,0.38072,0.04522,0,0.0018218,0.0018218,0.0018218
11,436.46,0.82453,1.7066,0.25822,0.32007,0.01994,5.87955,0.9907,0.98469,0.99475,0.82213,0.9907,0.98469,0.99475,0.81324,0.80623,0.71826,0.21258,0.2312,0.03891,0,0.001802,0.001802,0.001802
12,476.816,0.7569,1.69329,0.25032,0.30338,0.01842,5.67034,0.98981,0.99142,0.9948,0.85565,0.98981,0.99142,0.9948,0.84151,0.67626,0.61951,0.31222,0.2018,0.03212,0,0.0017822,0.0017822,0.0017822
13,516.793,0.7639,1.62773,0.2444,0.29171,0.01799,5.66693,0.98476,0.98899,0.9948,0.82527,0.98476,0.98899,0.9948,0.74363,0.75561,0.89498,0.24629,0.23104,0.03576,0,0.0017624,0.0017624,0.0017624
14,554.238,0.6755,1.60674,0.22657,0.26764,0.01538,5.57484,0.9975,1,0.995,0.91538,0.9975,1,0.995,0.837,0.4551,0.6432,0.3464,0.16661,0.02109,0,0.0017426,0.0017426,0.0017426
15,591.983,0.66108,1.58474,0.22055,0.2557,0.01561,5.25385,0.99868,0.9898,0.99495,0.83797,0.99353,0.98469,0.99377,0.80666,0.75538,0.81003,0.30761,0.21394,0.03581,0,0.0017228,0.0017228,0.0017228
