epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,47.106,1.04242,5.28552,0.64539,0.65524,0.02768,17.3869,0.96508,0.96954,0.98078,0.68714,0.90381,0.90863,0.91033,0.31504,1.17715,2.7557,0.25989,0.55822,0.05665,0,0.000661578,0.000661578,0.000661578
2,87.6214,1.09373,3.12613,0.46328,0.4099,0.0286,9.32105,0.83621,0.93295,0.90488,0.45562,0.82241,0.91678,0.89006,0.56132,1.80632,1.64564,0.26511,0.73746,0.08752,0,0.00131509,0.00131509,0.00131509
3,127.728,1.16774,2.9688,0.3879,0.45687,0.02908,8.68823,0.8766,0.86294,0.91654,0.4676,0.88416,0.85236,0.89274,0.50165,1.8437,1.87432,0.25068,0.89806,0.0871,0,0.00195541,0.00195541,0.00195541
4,164.761,1.19984,2.63495,0.34756,0.44138,0.02945,7.96773,0.91546,0.98941,0.97177,0.77965,0.89988,0.97462,0.95222,0.48657,0.84782,1.93465,0.16212,0.40966,0.03995,0,0.0019406,0.0019406,0.0019406
5,203.256,1.02512,2.19778,0.34255,0.3711,0.02538,7.20337,0.90612,0.93401,0.96782,0.77573,0.91835,0.85646,0.90334,0.59989,0.865,1.80058,0.41232,0.4564,0.04071,0,0.0019208,0.0019208,0.0019208
6,244.19,0.86457,2.12316,0.30632,0.35766,0.02106,6.71198,0.95573,0.98621,0.99231,0.80851,0.92988,0.94247,0.95397,0.72716,0.82571,1.23133,0.29222,0.27668,0.03954,0,0.001901,0.001901,0.001901
7,284.808,0.87345,2.01199,0.28593,0.34324,0.02115,6.58071,0.93563,0.91878,0.97109,0.72452,0.93563,0.91878,0.97288,0.6961,1.01316,1.18896,0.2431,0.46798,0.04797,0,0.0018812,0.0018812,0.0018812
8,324.166,0.88383,2.05417,0.27932,0.39868,0.02238,6.55167,0.96432,0.94924,0.97858,0.7339,0.96432,0.94924,0.98411,0.7829,1.04568,0.93894,0.26203,0.36601,0.05056,0,0.0018614,0.0018614,0.0018614
9,364.631,0.83007,1.89384,0.2738,0.35182,0.02032,6.215,0.96999,0.9797,0.98713,0.80854,0.96999,0.9797,0.99182,0.77536,0.74608,0.95032,0.26006,0.37158,0.03502,0,0.0018416,0.0018416,0.0018416
10,406.059,0.80183,1.8425,0.25397,0.31152,0.01916,6.1458,0.9704,0.99851,0.9908,0.74156,0.9704,0.99851,0.98854,0.82358,1.05441,0.82166,0.25114,0.28853,0.04972,0,0.0018218,0.0018218,0.0018218
