epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
26,189.628,1.02013,1.94031,0.35342,0.35855,0.02514,7.07059,0.90586,0.9955,0.96543,0.67009,0.84322,0.92741,0.82364,0.36568,1.23406,2.39482,0.22612,0.60304,0.05556,0,0.001505,0.001505,0.001505
27,196.092,0.9861,1.88444,0.33571,0.36145,0.02416,6.53404,0.93381,1,0.97651,0.75393,0.90131,0.96552,0.93492,0.40513,0.93014,2.28629,0.20214,0.34756,0.04273,0,0.0014852,0.0014852,0.0014852
28,202.512,0.92508,1.80358,0.33793,0.30943,0.02319,6.78957,0.87763,0.98945,0.94651,0.53983,0.87763,0.98945,0.96135,0.63642,1.72584,1.48443,0.19375,0.58278,0.07877,0,0.0014654,0.0014654,0.0014654
29,209.03,1.00399,1.63635,0.33997,0.36351,0.02399,6.48302,0.96274,1,0.979,0.65286,0.96274,1,0.993,0.7564,1.36025,1.26162,0.18625,0.37776,0.06258,0,0.0014456,0.0014456,0.0014456
30,215.699,1.02107,1.5805,0.33044,0.39353,0.02608,6.65801,0.96541,0.96246,0.98479,0.84062,0.96541,0.96246,0.97893,0.69148,0.73269,1.48393,0.19906,0.29642,0.03282,0,0.0014258,0.0014258,0.0014258
31,222.219,1.0323,1.53152,0.34235,0.33654,0.02572,6.05461,0.9666,0.9979,0.971,0.68401,0.9332,0.96351,0.97969,0.7267,1.1759,1.34308,0.21079,0.35527,0.05324,0,0.001406,0.001406,0.001406
32,228.594,0.99772,1.52841,0.3334,0.35056,0.02497,6.57019,0.96194,0.96552,0.95288,0.68431,0.96194,0.96552,0.9815,0.71629,1.15481,1.37747,0.18581,0.42323,0.05326,0,0.0013862,0.0013862,0.0013862
33,235.065,0.98923,1.47776,0.36438,0.34275,0.02379,5.92433,0.93969,0.86207,0.94903,0.6178,0.97798,0.89655,0.98308,0.79895,1.40624,1.14941,0.25756,0.68456,0.06773,0,0.0013664,0.0013664,0.0013664
34,241.402,0.89999,1.52542,0.33558,0.32109,0.02204,5.98535,0.96405,1,0.98033,0.787,0.96405,1,0.96867,0.77955,0.89516,1.19001,0.22594,0.27654,0.04085,0,0.0013466,0.0013466,0.0013466
35,247.856,0.90428,1.58093,0.32338,0.34262,0.02201,5.80494,0.96159,1,0.96533,0.68446,0.96159,1,0.97567,0.75848,1.16013,1.2661,0.23006,0.39397,0.05358,0,0.0013268,0.0013268,0.0013268
