epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,43.1429,1.05738,5.47366,0.64906,0.653,0.02802,17.6256,0.98491,0.99933,0.99213,0.74761,0.68323,0.69328,0.54278,0.14137,0.92411,4.07579,0.2741,0.26034,0.0432,0,0.000661578,0.000661578,0.000661578
2,82.5191,1.16424,3.13036,0.4724,0.43088,0.03093,9.41534,0.7824,0.69713,0.77298,0.41267,0.7503,0.59184,0.6199,0.21998,1.95616,4.17241,0.50927,1.05668,0.09499,0,0.00131509,0.00131509,0.00131509
3,121.5,1.08758,2.82045,0.38871,0.43275,0.0277,8.29201,0.96874,0.94869,0.98343,0.54386,0.97395,0.95365,0.98536,0.59102,1.69493,1.58909,0.28153,0.4671,0.08023,0,0.00195541,0.00195541,0.00195541
4,159.345,1.10676,2.61093,0.34991,0.42263,0.02717,7.88046,0.62527,0.60714,0.56169,0.23946,0.7936,0.74544,0.82261,0.42042,2.13238,3.11247,0.37921,1.90568,0.10412,0,0.0019406,0.0019406,0.0019406
5,197.739,0.98382,2.23518,0.33775,0.38675,0.02432,7.15463,0.92878,1,0.99162,0.81563,0.91449,0.98469,0.98354,0.67401,0.74652,1.33966,0.31295,0.35482,0.03467,0,0.0019208,0.0019208,0.0019208
6,237.119,0.9247,2.09303,0.31592,0.35617,0.02247,6.8242,0.98545,0.95918,0.99293,0.75849,0.99468,0.95305,0.99269,0.65684,0.9811,1.31503,0.22659,0.321,0.04662,0,0.001901,0.001901,0.001901
7,276.428,0.95868,1.91142,0.29747,0.35009,0.02373,6.44938,0.98358,0.96939,0.98921,0.73661,0.98358,0.96939,0.99108,0.72748,1.0861,1.16078,0.27946,0.35272,0.05187,0,0.0018812,0.0018812,0.0018812
8,314.804,0.90967,1.86695,0.27871,0.35524,0.02221,6.32913,0.98253,0.94898,0.99094,0.7584,0.97147,0.93878,0.98762,0.76368,0.94107,1.0542,0.32196,0.3533,0.04426,0,0.0018614,0.0018614,0.0018614
9,354.702,0.85615,1.75246,0.26693,0.33466,0.021,6.08585,0.97142,0.98469,0.99058,0.81895,0.96135,0.97449,0.98485,0.77721,0.83041,1.01952,0.23119,0.33001,0.03949,0,0.0018416,0.0018416,0.0018416
10,395.128,0.76681,1.68606,0.24836,0.32778,0.0185,5.8274,0.97471,1,0.99281,0.84194,0.96973,0.9949,0.99118,0.82998,0.72666,0.87561,0.22164,0.22281,0.03384,0,0.0018218,0.0018218,0.0018218
11,433.618,0.77002,1.62456,0.24797,0.29297,0.01866,5.70505,0.96069,1,0.99144,0.86335,0.96069,1,0.99362,0.7829,0.65059,1.00345,0.3336,0.21677,0.03068,0,0.001802,0.001802,0.001802
12,473.301,0.76716,1.60355,0.2372,0.29076,0.01887,5.62503,0.98972,0.98259,0.9903,0.76753,0.98972,0.98259,0.9945,0.76093,1.00234,1.03678,0.23963,0.28344,0.04717,0,0.0017822,0.0017822,0.0017822
13,510.476,0.71809,1.572,0.23652,0.27346,0.01761,5.42379,0.97993,0.99656,0.99061,0.89503,0.97993,0.99656,0.99454,0.83197,0.51712,0.83531,0.30121,0.19484,0.024,0,0.0017624,0.0017624,0.0017624
14,548.902,0.69037,1.39387,0.23362,0.26533,0.01639,5.06268,0.99478,0.9714,0.99328,0.84796,1,0.97628,0.9945,0.83596,0.68378,0.86158,0.23495,0.26219,0.03194,0,0.0017426,0.0017426,0.0017426
15,588.289,0.63677,1.49092,0.22427,0.25491,0.01462,5.17138,0.98448,0.97094,0.99242,0.84652,0.98965,0.97605,0.99411,0.8509,0.7259,0.78726,0.2042,0.29611,0.03391,0,0.0017228,0.0017228,0.0017228
16,626.579,0.67462,1.49917,0.22252,0.25347,0.01605,5.30205,0.97471,0.98317,0.99067,0.88362,0.97471,0.98317,0.9932,0.85823,0.55812,0.7846,0.26067,0.21361,0.02584,0,0.001703,0.001703,0.001703
17,665.269,0.68675,1.41717,0.22358,0.26026,0.016,5.03669,0.99274,0.9949,0.99276,0.87014,0.99783,1,0.995,0.86585,0.63359,0.74785,0.26045,0.21355,0.0292,0,0.0016832,0.0016832,0.0016832
18,705.348,0.69129,1.40668,0.2151,0.26676,0.0161,4.76204,0.97992,0.99607,0.99397,0.86272,0.97992,0.99607,0.99439,0.8273,0.6706,0.86108,0.20237,0.22082,0.03116,0,0.0016634,0.0016634,0.0016634
19,745.046,0.63412,1.45746,0.2146,0.24842,0.01476,5.06754,0.99291,0.98469,0.99304,0.89601,0.99291,0.98469,0.99475,0.83964,0.50125,0.80858,0.21626,0.21767,0.02308,0,0.0016436,0.0016436,0.0016436
20,784.428,0.65291,1.41283,0.20375,0.24738,0.0153,4.67306,0.99487,0.98986,0.99321,0.92269,0.99487,0.98986,0.99474,0.86864,0.43118,0.76083,0.19508,0.19133,0.01997,0,0.0016238,0.0016238,0.0016238
21,824.67,0.6365,1.43722,0.21308,0.25445,0.01572,5.0791,0.98983,0.99302,0.9909,0.88056,0.99448,0.9949,0.995,0.86173,0.5547,0.76106,0.25155,0.20219,0.02578,0,0.001604,0.001604,0.001604
22,861.676,0.61889,1.35994,0.20894,0.23598,0.0141,4.59314,0.99492,0.99974,0.99231,0.89887,0.99492,0.99974,0.9949,0.87289,0.51977,0.75289,0.24022,0.16275,0.02403,0,0.0015842,0.0015842,0.0015842
23,899.598,0.61224,1.30603,0.20629,0.23248,0.01429,4.80595,0.99489,0.9941,0.99367,0.87301,0.99489,0.9941,0.99485,0.86272,0.57481,0.74728,0.24602,0.18017,0.02677,0,0.0015644,0.0015644,0.0015644
24,939.407,0.56484,1.30171,0.20212,0.2153,0.01312,4.67688,0.99492,0.99917,0.99231,0.85467,0.99492,0.99917,0.99459,0.85317,0.66413,0.7427,0.22072,0.21776,0.03115,0,0.0015446,0.0015446,0.0015446
25,978.647,0.5934,1.2948,0.20014,0.22519,0.01436,4.78066,0.99419,0.9949,0.99495,0.89486,0.99419,0.9949,0.9949,0.86818,0.5073,0.74881,0.22035,0.15652,0.02335,0,0.0015248,0.0015248,0.0015248
26,1018.58,0.59257,1.27568,0.19756,0.2149,0.01368,4.60094,0.99483,1,0.99388,0.85266,0.99483,1,0.995,0.85606,0.67815,0.73438,0.21063,0.21325,0.03165,0,0.001505,0.001505,0.001505
27,1058.65,0.56579,1.32788,0.19381,0.23015,0.01285,4.43055,0.98,0.99984,0.99274,0.86972,0.9924,0.9949,0.99495,0.86597,0.62964,0.72023,0.26177,0.21359,0.02924,0,0.0014852,0.0014852,0.0014852
28,1098.06,0.56119,1.32365,0.19745,0.2138,0.01289,4.58045,0.98989,0.9989,0.99081,0.90454,0.98989,0.9989,0.99475,0.86685,0.4732,0.72026,0.20571,0.16998,0.02198,0,0.0014654,0.0014654,0.0014654
29,1138.19,0.54534,1.26699,0.19219,0.21606,0.01226,4.37951,0.97969,0.98446,0.99145,0.89462,0.97969,0.98446,0.99367,0.87185,0.50593,0.73658,0.18021,0.19253,0.02339,0,0.0014456,0.0014456,0.0014456
30,1177.61,0.54322,1.19475,0.18297,0.22143,0.01237,4.31458,0.97511,0.9993,0.99116,0.90297,0.97511,0.9993,0.99267,0.85854,0.48132,0.768,0.28023,0.18836,0.02188,0,0.0014258,0.0014258,0.0014258
31,1214.84,0.55891,1.24994,0.18413,0.23936,0.01307,4.29536,0.98944,0.96939,0.99129,0.85652,0.99465,0.97449,0.99435,0.88207,0.6909,0.69529,0.22317,0.2395,0.03247,0,0.001406,0.001406,0.001406
32,1252.49,0.55309,1.19717,0.19516,0.21534,0.01241,4.24211,0.98977,0.98754,0.99274,0.87598,0.99489,0.99264,0.99495,0.87753,0.59889,0.70455,0.2377,0.24916,0.02776,0,0.0013862,0.0013862,0.0013862
33,1292.26,0.50786,1.18,0.1912,0.20804,0.01148,4.14771,0.96723,0.9949,0.99419,0.8902,0.98921,0.97959,0.99445,0.87357,0.55309,0.70824,0.20356,0.21138,0.02554,0,0.0013664,0.0013664,0.0013664
34,1331.37,0.57145,1.19117,0.17911,0.2113,0.01383,4.18063,0.99484,0.98391,0.99413,0.88092,1,0.98901,0.99495,0.88431,0.57952,0.70007,0.20167,0.19167,0.02768,0,0.0013466,0.0013466,0.0013466
