epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
25,905.041,0.55631,1.28286,0.19592,0.2105,0.013,4.49752,0.98883,0.98985,0.98737,0.83549,0.98883,0.98985,0.99333,0.86814,0.72771,0.75428,0.21914,0.27471,0.03399,0,0.0015248,0.0015248,0.0015248
26,940.808,0.54111,1.34127,0.19344,0.21843,0.01247,4.64582,0.98892,0.98985,0.98617,0.86374,0.98892,0.98985,0.98617,0.85633,0.59679,0.7637,0.19412,0.2259,0.02752,0,0.001505,0.001505,0.001505
27,976.726,0.5376,1.3883,0.18879,0.21311,0.01276,4.8595,0.99278,0.9797,0.99006,0.87579,0.98345,0.98477,0.98553,0.80297,0.53863,0.9267,0.20294,0.20166,0.02477,0,0.0014852,0.0014852,0.0014852
28,1012.73,0.54618,1.29983,0.19763,0.2192,0.01281,4.61327,0.985,0.99968,0.99423,0.86002,0.985,0.99968,0.99006,0.8725,0.64768,0.71803,0.25576,0.22381,0.03018,0,0.0014654,0.0014654,0.0014654
29,1048.9,0.55369,1.28456,0.18563,0.21997,0.01274,4.37983,0.98492,0.99435,0.98526,0.91608,0.98492,0.99435,0.98526,0.85152,0.45074,0.77252,0.19462,0.18807,0.02056,0,0.0014456,0.0014456,0.0014456
30,1085.11,0.55502,1.15911,0.17804,0.21239,0.01267,4.21142,0.98886,1,0.985,0.88025,0.98886,1,0.985,0.87109,0.5388,0.71036,0.18624,0.20036,0.02473,0,0.0014258,0.0014258,0.0014258
31,1121.42,0.54536,1.15266,0.18612,0.21669,0.01267,4.26578,0.98249,0.98477,0.98461,0.9077,0.98249,0.98477,0.9864,0.86335,0.44265,0.70692,0.229,0.19419,0.02005,0,0.001406,0.001406,0.001406
32,1158.27,0.54229,1.19,0.19285,0.21398,0.01241,4.1913,0.99193,0.9797,0.99244,0.89859,0.97504,0.99131,0.98713,0.88173,0.48726,0.73274,0.18392,0.1989,0.02217,0,0.0013862,0.0013862,0.0013862
33,1194.56,0.53816,1.19416,0.18376,0.2195,0.01244,4.25573,0.9793,0.99492,0.98468,0.87764,0.9793,0.99492,0.98455,0.86043,0.5213,0.75391,0.18839,0.20161,0.02366,0,0.0013664,0.0013664,0.0013664
34,1230.34,0.55081,1.20305,0.18599,0.212,0.0131,4.23521,0.982,0.98985,0.99413,0.89412,0.97351,0.99492,0.98864,0.87218,0.53442,0.75013,0.29237,0.21146,0.02461,0,0.0013466,0.0013466,0.0013466
35,1266.29,0.52075,1.19234,0.18821,0.20564,0.01184,4.12054,0.98499,0.99916,0.99386,0.84789,0.98499,0.99916,0.99194,0.86266,0.63997,0.75488,0.17432,0.22344,0.03032,0,0.0013268,0.0013268,0.0013268
36,1302.05,0.53708,1.15652,0.18599,0.21449,0.01303,4.08373,0.98976,0.98129,0.99283,0.89123,0.98976,0.98129,0.98995,0.87196,0.49906,0.7294,0.22239,0.20188,0.02256,0,0.001307,0.001307,0.001307
37,1338.22,0.52351,1.19328,0.17668,0.21237,0.01215,4.12715,0.98496,0.99492,0.98495,0.81338,0.98496,0.99492,0.98616,0.86356,0.76596,0.72813,0.17442,0.25561,0.03582,0,0.0012872,0.0012872,0.0012872
38,1374.73,0.52747,1.09007,0.18238,0.2195,0.01248,4.14214,0.98428,0.98477,0.99345,0.88807,0.98428,0.98477,0.98964,0.86812,0.51016,0.72847,0.17859,0.221,0.02358,0,0.0012674,0.0012674,0.0012674
39,1411.48,0.5448,1.095,0.18318,0.21378,0.01262,3.96596,0.98961,0.98985,0.99132,0.88284,0.98961,0.98985,0.99155,0.86715,0.52221,0.7081,0.1627,0.19954,0.0237,0,0.0012476,0.0012476,0.0012476
