epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
26,444.356,0.89055,1.53806,0.33905,0.36689,0.02202,6.02876,0.95905,0.9758,0.97862,0.782,0.95905,0.9758,0.96806,0.74019,0.85567,1.14638,0.23344,0.34374,0.0394,0,0.0017525,0.0017525,0.0017525
27,461.256,0.92629,1.69764,0.34092,0.36888,0.02343,6.31013,0.92307,0.99986,0.97241,0.73314,0.92307,0.99986,0.97189,0.81829,1.00447,0.85519,0.29588,0.33118,0.04546,0,0.0017426,0.0017426,0.0017426
28,478.156,0.86414,1.68704,0.33881,0.33076,0.02111,6.04133,0.93874,0.95778,0.96957,0.69881,0.93874,0.95778,0.97005,0.7979,1.14141,0.93843,0.35317,0.38092,0.05265,0,0.0017327,0.0017327,0.0017327
29,487.461,0.94407,1.57351,0.33671,0.34232,0.02354,6.2556,0.9772,0.9375,0.9717,0.78748,0.9772,0.9375,0.97018,0.63264,0.83715,1.42119,0.26307,0.54331,0.03779,0,0.0017228,0.0017228,0.0017228
30,497.613,0.9064,1.65728,0.33044,0.37786,0.02193,6.25231,0.96758,0.9375,0.96312,0.74894,0.96758,0.9375,0.96366,0.79832,0.93388,0.87967,0.29692,0.56353,0.04234,0,0.0017129,0.0017129,0.0017129
31,512.282,0.9504,1.50801,0.32157,0.36219,0.02376,6.1496,0.97234,1,0.97602,0.84886,0.97234,1,0.97469,0.61868,0.60489,1.48932,0.32019,0.26555,0.02738,0,0.001703,0.001703,0.001703
32,521.13,0.95364,1.48655,0.32347,0.35494,0.02459,5.81628,0.99772,0.97917,0.99245,0.71018,0.97617,0.95833,0.96987,0.72892,1.18432,1.12809,0.31901,0.33289,0.05593,0,0.0016931,0.0016931,0.0016931
33,530.093,0.79773,1.46325,0.32157,0.32976,0.01932,5.90412,0.76049,1,0.9347,0.81113,0.76049,1,0.92956,0.78217,0.61604,0.94061,0.25134,0.63169,0.02808,0,0.0016832,0.0016832,0.0016832
34,539.683,0.78466,1.37926,0.31512,0.29232,0.019,5.65176,0.97868,0.95633,0.99052,0.87188,0.95737,0.93571,0.97706,0.83871,0.59681,0.80985,0.32135,0.24384,0.02704,0,0.0016733,0.0016733,0.0016733
35,549.324,0.75935,1.31556,0.30051,0.2798,0.01727,5.23216,0.97629,1,0.99214,0.78712,0.97629,1,0.97847,0.85046,0.88715,0.79063,0.21796,0.27639,0.0413,0,0.0016634,0.0016634,0.0016634
