epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,43.0611,1.04273,5.61161,0.64127,0.66282,0.02802,17.9231,0.97982,0.99074,0.99444,0.61311,0.93286,0.93878,0.95605,0.37469,1.56515,2.57672,0.33471,0.44349,0.08459,0,0.000661578,0.000661578,0.000661578
2,83.2746,1.07574,3.08029,0.49471,0.41466,0.02814,9.53231,0.83975,0.84694,0.90468,0.34786,0.84536,0.85204,0.91861,0.44051,2.00041,3.34815,0.36425,1.62766,0.09681,0,0.00131509,0.00131509,0.00131509
3,123.044,1.09717,2.90439,0.40936,0.39894,0.02792,8.52282,0.97405,0.95737,0.99078,0.75061,0.83105,0.85326,0.80772,0.29165,0.92156,2.6087,0.21014,0.35723,0.04474,0,0.00195541,0.00195541,0.00195541
4,163.701,1.23159,2.91654,0.37689,0.41654,0.032,8.41297,0.97009,0.9949,0.99199,0.67754,0.84079,0.85714,0.7881,0.3132,1.25079,2.58768,0.14089,0.34807,0.06393,0,0.0019406,0.0019406,0.0019406
5,204.135,1.05814,2.39823,0.36345,0.39317,0.02645,7.48512,0.90766,0.95286,0.97596,0.68769,0.90766,0.95286,0.97549,0.7161,1.20064,1.04211,0.33192,0.42428,0.05727,0,0.0019208,0.0019208,0.0019208
6,243.206,0.91376,2.09331,0.331,0.36249,0.02191,6.95851,0.97141,0.9898,0.99307,0.79916,0.97141,0.9898,0.99307,0.73928,0.84041,0.97422,0.20506,0.26357,0.04035,0,0.001901,0.001901,0.001901
7,282.58,0.9072,1.93362,0.30684,0.35957,0.022,6.48565,0.98979,0.98948,0.9947,0.83415,0.98979,0.98948,0.9947,0.80026,0.7397,0.73795,0.2598,0.22013,0.03558,0,0.0018812,0.0018812,0.0018812
8,320.266,0.82419,1.91192,0.29094,0.31269,0.02029,6.44026,0.9809,0.98469,0.99361,0.81618,0.9809,0.98469,0.99337,0.81291,0.81671,0.71452,0.21173,0.2621,0.03926,0,0.0018614,0.0018614,0.0018614
9,359.205,0.83557,1.78114,0.28235,0.32336,0.02126,5.92297,0.97769,0.9949,0.99459,0.72104,0.97769,0.9949,0.99459,0.76824,1.1334,0.8596,0.29757,0.28623,0.05851,0,0.0018416,0.0018416,0.0018416
10,399.87,0.73387,1.82546,0.26419,0.30303,0.01773,6.08374,0.98472,0.9863,0.9944,0.81348,0.98472,0.9863,0.9944,0.81593,0.79681,0.73538,0.18091,0.24504,0.03775,0,0.0018218,0.0018218,0.0018218
11,439.572,0.76794,1.58373,0.25108,0.30261,0.01823,5.75022,0.99488,0.99174,0.99495,0.7669,0.99488,0.99174,0.99495,0.80871,0.96144,0.72771,0.28612,0.26467,0.0471,0,0.001802,0.001802,0.001802
12,478.403,0.73119,1.72401,0.24491,0.27965,0.01734,5.71143,0.9848,0.99172,0.99335,0.77422,0.9848,0.99172,0.99335,0.82136,0.97416,0.66254,0.18593,0.29898,0.04646,0,0.0017822,0.0017822,0.0017822
13,517.951,0.68034,1.61594,0.24602,0.26765,0.01653,5.6611,0.98569,0.9898,0.99454,0.77342,0.98061,0.98469,0.99,0.74715,0.97503,0.91684,0.22698,0.26941,0.04698,0,0.0017624,0.0017624,0.0017624
