epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
25,982.197,0.58711,1.29869,0.19512,0.2528,0.01431,4.61103,0.98957,0.96834,0.99385,0.86248,0.98957,0.96834,0.99188,0.85261,0.63408,0.69567,0.20506,0.23353,0.02907,0,0.0015248,0.0015248,0.0015248
26,1021.71,0.59192,1.23178,0.19801,0.23895,0.01386,4.41996,0.97471,0.9831,0.99315,0.89194,0.97471,0.9831,0.99342,0.86995,0.48845,0.65619,0.21963,0.19583,0.02262,0,0.001505,0.001505,0.001505
27,1062.26,0.55695,1.2866,0.19138,0.23795,0.0128,4.39013,0.98462,0.97977,0.99266,0.87663,0.98462,0.97977,0.99066,0.83919,0.53602,0.73103,0.24225,0.22304,0.02501,0,0.0014852,0.0014852,0.0014852
28,1101.6,0.54444,1.31767,0.18687,0.22174,0.01256,4.48352,0.99468,0.9898,0.99428,0.88076,0.99468,0.9898,0.99208,0.86888,0.55446,0.65749,0.15242,0.19635,0.02563,0,0.0014654,0.0014654,0.0014654
29,1138.98,0.58993,1.29413,0.19848,0.22925,0.0141,4.36434,0.99396,0.9898,0.99306,0.86148,0.99396,0.9898,0.99326,0.86905,0.63662,0.66892,0.2067,0.22383,0.02933,0,0.0014456,0.0014456,0.0014456
30,1177.19,0.57806,1.23883,0.17947,0.21602,0.01344,4.21632,0.97975,0.9949,0.99359,0.88554,0.97975,0.9949,0.99439,0.86,0.5128,0.69093,0.21114,0.20094,0.02366,0,0.0014258,0.0014258,0.0014258
31,1217.26,0.52935,1.18275,0.18772,0.20343,0.0122,4.06948,0.9926,0.9949,0.99444,0.8946,0.9926,0.9949,0.99393,0.87815,0.50973,0.63234,0.2365,0.19174,0.02325,0,0.001406,0.001406,0.001406
32,1256.83,0.51943,1.17633,0.1899,0.20368,0.01193,3.95896,0.98871,1,0.99186,0.84488,0.98871,1,0.99196,0.88189,0.6485,0.64417,0.15146,0.21127,0.03035,0,0.0013862,0.0013862,0.0013862
33,1295.75,0.56808,1.23411,0.18533,0.21474,0.01341,4.15825,0.98989,0.99947,0.99119,0.8098,0.98989,0.99947,0.99213,0.83968,0.78454,0.70107,0.19099,0.26891,0.0364,0,0.0013664,0.0013664,0.0013664
34,1334.97,0.57606,1.27735,0.17905,0.21988,0.01356,4.44785,0.9849,0.99862,0.98958,0.88394,0.9849,0.99862,0.98804,0.8682,0.49699,0.64747,0.21105,0.27954,0.02282,0,0.0013466,0.0013466,0.0013466
35,1374.37,0.53332,1.17015,0.18159,0.20754,0.01203,4.13086,0.98318,0.98469,0.99161,0.88567,0.98318,0.98469,0.99209,0.86687,0.49753,0.64773,0.14952,0.20718,0.02281,0,0.0013268,0.0013268,0.0013268
36,1412.86,0.50846,1.17444,0.18391,0.1976,0.01134,4.11364,0.99487,0.98917,0.99444,0.88803,0.99487,0.98917,0.99188,0.87905,0.51648,0.64004,0.18037,0.19559,0.02402,0,0.001307,0.001307,0.001307
37,1452.42,0.51475,1.1505,0.17574,0.19615,0.01178,3.84652,0.98989,0.99867,0.99444,0.90108,0.99945,1,0.995,0.88059,0.46733,0.64768,0.21184,0.16833,0.02153,0,0.0012872,0.0012872,0.0012872
38,1489.84,0.50674,1.07787,0.17586,0.19628,0.01143,3.67792,0.98398,1,0.99413,0.89262,0.98398,1,0.99469,0.88103,0.49574,0.62712,0.20999,0.17703,0.02231,0,0.0012674,0.0012674,0.0012674
39,1528.18,0.50085,1.0768,0.17151,0.18655,0.01124,3.80723,0.99483,0.98239,0.99284,0.91249,0.99483,0.98239,0.9933,0.87192,0.41928,0.64442,0.1894,0.18434,0.01904,0,0.0012476,0.0012476,0.0012476
40,1568.78,0.50758,1.09356,0.173,0.19442,0.01167,3.90429,0.98882,0.9898,0.99184,0.88477,0.98882,0.9898,0.99137,0.87531,0.51612,0.61959,0.17631,0.19799,0.02397,0,0.0012278,0.0012278,0.0012278
41,1607.75,0.49928,1.08024,0.17509,0.1928,0.01128,3.721,0.98492,0.9996,0.99402,0.88941,0.98492,0.9996,0.99281,0.87184,0.51262,0.6588,0.18003,0.18518,0.02332,0,0.001208,0.001208,0.001208
42,1647.96,0.53021,1.08899,0.17284,0.20328,0.01251,3.81867,0.98896,0.98469,0.99227,0.89733,0.98896,0.98469,0.99201,0.87114,0.47771,0.64075,0.18222,0.20154,0.02221,0,0.0011882,0.0011882,0.0011882
43,1688.8,0.51388,1.1056,0.17474,0.19911,0.01207,3.81181,0.98979,0.98959,0.99202,0.87775,0.98979,0.98959,0.99403,0.87361,0.5399,0.64606,0.18932,0.19119,0.02501,0,0.0011684,0.0011684,0.0011684
44,1727.81,0.49318,1.04413,0.17306,0.19551,0.01116,3.68861,0.98388,0.97959,0.99174,0.88708,0.98388,0.97959,0.99053,0.88121,0.52607,0.62695,0.18888,0.20529,0.02425,0,0.0011486,0.0011486,0.0011486
45,1767.61,0.47234,1.09409,0.17294,0.18983,0.01048,3.54896,0.98836,0.9898,0.99222,0.89531,0.98836,0.9898,0.99011,0.8784,0.48718,0.6317,0.25662,0.18914,0.0221,0,0.0011288,0.0011288,0.0011288
46,1807.86,0.47087,0.94981,0.17401,0.18462,0.01037,3.46943,0.97487,0.98974,0.99203,0.9052,0.97487,0.98974,0.99082,0.87644,0.44029,0.62934,0.1414,0.20774,0.01982,0,0.001109,0.001109,0.001109
47,1844.75,0.48583,1.06559,0.16982,0.18362,0.0109,3.59415,0.98984,0.99369,0.99141,0.9208,0.98475,0.98859,0.98511,0.87345,0.4008,0.64994,0.16506,0.16802,0.01821,0,0.0010892,0.0010892,0.0010892
